Country Name,"Country Code","Series","Series Code","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]"
American Samoa,"ASM","Barro-Lee: Average years of total schooling, age 15+, total","BAR.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
American Samoa,"ASM","Literacy rate, population 25-64 years, both sexes (%)","UIS.LR.AG25T64","..","..","..","..","..","..","..","..","..","..",".."
American Samoa,"ASM","Literacy rate, population 25-64 years, female (%)","UIS.LR.AG25T64.F","..","..","..","..","..","..","..","..","..","..",".."
American Samoa,"ASM","Literacy rate, population 25-64 years, male (%)","UIS.LR.AG25T64.M","..","..","..","..","..","..","..","..","..","..",".."
American Samoa,"ASM","Harmonized Test Scores, Total","HD.HCI.HLOS","..","..","..","..","..","..","..","..","..","..",".."
American Samoa,"ASM","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","..","..","..","..","..","..","..","..","..","..",".."
American Samoa,"ASM","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","..","..","..","..","..","..","..","..","..","..",".."
American Samoa,"ASM","Percentage of enrolment in primary education in private institutions (%)","SE.PRM.PRIV.ZS","..","..","..","..","..","..","..","..","..","..",".."
American Samoa,"ASM","Percentage of enrolment in lower secondary education in private institutions (%)","UIS.PRP.2","..","..","..","..","..","..","..","..","..","..",".."
American Samoa,"ASM","Percentage of enrolment in secondary education in private institutions (%)","SE.SEC.PRIV.ZS","..","..","..","..","..","..","..","..","..","..",".."
American Samoa,"ASM","Percentage of enrolment in tertiary education in private institutions (%)","SE.TER.PRIV.ZS","..","..","..","..","..","..","..","..","..","..",".."
American Samoa,"ASM","Percentage of enrolment in upper secondary education in private institutions (%)","UIS.PRP.3","..","..","..","..","..","..","..","..","..","..",".."
Andorra,"AND","Barro-Lee: Average years of primary schooling, age 15+, female","BAR.PRM.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
Andorra,"AND","Barro-Lee: Average years of primary schooling, age 15+, total","BAR.PRM.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
Andorra,"AND","Barro-Lee: Average years of secondary schooling, age 15+, female","BAR.SEC.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
Andorra,"AND","Barro-Lee: Average years of secondary schooling, age 15+, total","BAR.SEC.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
Andorra,"AND","Barro-Lee: Average years of tertiary schooling, age 15+, total","BAR.TER.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
Andorra,"AND","Barro-Lee: Average years of tertiary schooling, age 15+, female","BAR.TER.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
Andorra,"AND","Barro-Lee: Average years of total schooling, age 15+, female","BAR.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
Andorra,"AND","Barro-Lee: Average years of total schooling, age 15+, total","BAR.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
Andorra,"AND","Literacy rate, population 25-64 years, both sexes (%)","UIS.LR.AG25T64","..","..","..","..","..","..","..","..","..","..",".."
Andorra,"AND","Literacy rate, population 25-64 years, female (%)","UIS.LR.AG25T64.F","..","..","..","..","..","..","..","..","..","..",".."
Andorra,"AND","Literacy rate, population 25-64 years, male (%)","UIS.LR.AG25T64.M","..","..","..","..","..","..","..","..","..","..",".."
Andorra,"AND","Harmonized Test Scores, Total","HD.HCI.HLOS","..","..","..","..","..","..","..","..","..","..",".."
Andorra,"AND","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","..","..","..","..","..","..","..","..","..","..",".."
Andorra,"AND","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","..","..","..","..","..","..","..","..","..","..",".."
Andorra,"AND","Percentage of enrolment in primary education in private institutions (%)","SE.PRM.PRIV.ZS","1.62638","2.04809","2.01162","2.06091","1.97044","1.96126","1.74533","1.84502","1.80115","2.18927","2.55688"
Andorra,"AND","Percentage of enrolment in lower secondary education in private institutions (%)","UIS.PRP.2","2.37924","2.44428","2.41354","2.00846","2","2.28024","2.33842","1.88057","2.81271","2.81451","2.93823"
Andorra,"AND","Percentage of enrolment in secondary education in private institutions (%)","SE.SEC.PRIV.ZS","3.116","2.67463","2.37609","2.04484","..","2.49525","2.40623","2.17643","2.84414","2.77966","2.82725"
Andorra,"AND","Percentage of enrolment in tertiary education in private institutions (%)","SE.TER.PRIV.ZS","..","..","..","..","0","0","5.20446","6.2249","10.97804","10.94891","13.05085"
Andorra,"AND","Percentage of enrolment in upper secondary education in private institutions (%)","UIS.PRP.3","5.07177","3.27409","2.28471","2.1294","..","3.04569","2.58621","2.87267","2.91333","2.71003","2.60521"
Angola,"AGO","Barro-Lee: Average years of primary schooling, age 15+, female","BAR.PRM.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
Angola,"AGO","Barro-Lee: Average years of primary schooling, age 15+, total","BAR.PRM.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
Angola,"AGO","Barro-Lee: Average years of secondary schooling, age 15+, female","BAR.SEC.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
Angola,"AGO","Barro-Lee: Average years of secondary schooling, age 15+, total","BAR.SEC.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
Angola,"AGO","Barro-Lee: Average years of tertiary schooling, age 15+, total","BAR.TER.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
Angola,"AGO","Barro-Lee: Average years of tertiary schooling, age 15+, female","BAR.TER.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
Angola,"AGO","Barro-Lee: Average years of total schooling, age 15+, female","BAR.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
Angola,"AGO","Barro-Lee: Average years of total schooling, age 15+, total","BAR.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
Angola,"AGO","Literacy rate, population 25-64 years, both sexes (%)","UIS.LR.AG25T64","..","..","..","..","..","..","..","62.4702","..","..",".."
Angola,"AGO","Literacy rate, population 25-64 years, female (%)","UIS.LR.AG25T64.F","..","..","..","..","..","..","..","47.12731","..","..",".."
Angola,"AGO","Literacy rate, population 25-64 years, male (%)","UIS.LR.AG25T64.M","..","..","..","..","..","..","..","79.37238","..","..",".."
Angola,"AGO","Harmonized Test Scores, Total","HD.HCI.HLOS","..","..","..","..","..","..","..","..","..","..","326"
Angola,"AGO","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","..","..","..","..","..","..","..","..","..","..","327"
Angola,"AGO","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","..","..","..","..","..","..","..","..","..","..","325"
Angola,"AGO","Percentage of enrolment in primary education in private institutions (%)","SE.PRM.PRIV.ZS","..","1.99438","1.93709","1.94601","3.0026","..","..","..","14.11856","..",".."
Angola,"AGO","Percentage of enrolment in lower secondary education in private institutions (%)","UIS.PRP.2","..","11.08277","10.28375","10.55902","11.21198","..","..","..","..","19.45327",".."
Angola,"AGO","Percentage of enrolment in secondary education in private institutions (%)","SE.SEC.PRIV.ZS","..","10.92931","10.22761","10.58419","10.97955","..","..","..","..","21.46779",".."
Angola,"AGO","Percentage of enrolment in tertiary education in private institutions (%)","SE.TER.PRIV.ZS","..","..","..","..","44.23101","..","57.68638","..","55.12878","..",".."
Angola,"AGO","Percentage of enrolment in upper secondary education in private institutions (%)","UIS.PRP.3","..","10.66559","10.12886","10.63457","10.53438","..","..","..","..","27.51675",".."
Antigua and Barbuda,"ATG","Barro-Lee: Average years of primary schooling, age 15+, female","BAR.PRM.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
Antigua and Barbuda,"ATG","Barro-Lee: Average years of primary schooling, age 15+, total","BAR.PRM.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
Antigua and Barbuda,"ATG","Barro-Lee: Average years of secondary schooling, age 15+, female","BAR.SEC.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
Antigua and Barbuda,"ATG","Barro-Lee: Average years of secondary schooling, age 15+, total","BAR.SEC.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
Antigua and Barbuda,"ATG","Barro-Lee: Average years of tertiary schooling, age 15+, total","BAR.TER.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
Antigua and Barbuda,"ATG","Barro-Lee: Average years of tertiary schooling, age 15+, female","BAR.TER.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
Antigua and Barbuda,"ATG","Barro-Lee: Average years of total schooling, age 15+, female","BAR.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
Antigua and Barbuda,"ATG","Barro-Lee: Average years of total schooling, age 15+, total","BAR.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
Antigua and Barbuda,"ATG","Literacy rate, population 25-64 years, both sexes (%)","UIS.LR.AG25T64","..","..","..","..","..","..","..","..","..","..",".."
Antigua and Barbuda,"ATG","Literacy rate, population 25-64 years, female (%)","UIS.LR.AG25T64.F","..","..","..","..","..","..","..","..","..","..",".."
Antigua and Barbuda,"ATG","Literacy rate, population 25-64 years, male (%)","UIS.LR.AG25T64.M","..","..","..","..","..","..","..","..","..","..",".."
Antigua and Barbuda,"ATG","Harmonized Test Scores, Total","HD.HCI.HLOS","..","..","..","..","..","..","..","..","..","..",".."
Antigua and Barbuda,"ATG","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","..","..","..","..","..","..","..","..","..","..",".."
Antigua and Barbuda,"ATG","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","..","..","..","..","..","..","..","..","..","..",".."
Antigua and Barbuda,"ATG","Percentage of enrolment in primary education in private institutions (%)","SE.PRM.PRIV.ZS","49.70179","51.69521","52.79354","51.93709","52.19714","52.59734","..","51.37633","51.57289","..",".."
Antigua and Barbuda,"ATG","Percentage of enrolment in lower secondary education in private institutions (%)","UIS.PRP.2","..","..","..","17.5962","18.82251","15.79529","..","16.60564","17.0369","..",".."
Antigua and Barbuda,"ATG","Percentage of enrolment in secondary education in private institutions (%)","SE.SEC.PRIV.ZS","18.98443","..","..","18.27881","19.50527","16.71239","..","17.87792","18.40209","..",".."
Antigua and Barbuda,"ATG","Percentage of enrolment in tertiary education in private institutions (%)","SE.TER.PRIV.ZS","..","..","70.20251","65.64103","70.78652","43.13616","..","..","..","..",".."
Antigua and Barbuda,"ATG","Percentage of enrolment in upper secondary education in private institutions (%)","UIS.PRP.3","..","..","..","19.86598","20.97981","18.40054","..","20.53537","21.26105","..",".."
Arab World,"ARB","Barro-Lee: Average years of primary schooling, age 15+, female","BAR.PRM.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
Arab World,"ARB","Barro-Lee: Average years of primary schooling, age 15+, total","BAR.PRM.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
Arab World,"ARB","Barro-Lee: Average years of secondary schooling, age 15+, female","BAR.SEC.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
Arab World,"ARB","Barro-Lee: Average years of secondary schooling, age 15+, total","BAR.SEC.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
Arab World,"ARB","Barro-Lee: Average years of tertiary schooling, age 15+, total","BAR.TER.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
Arab World,"ARB","Barro-Lee: Average years of tertiary schooling, age 15+, female","BAR.TER.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
Arab World,"ARB","Barro-Lee: Average years of total schooling, age 15+, female","BAR.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
Arab World,"ARB","Barro-Lee: Average years of total schooling, age 15+, total","BAR.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
Arab World,"ARB","Literacy rate, population 25-64 years, both sexes (%)","UIS.LR.AG25T64","65.94909","67.22927","66.22436","67.12401","69.42762","70.71779","71.24262","72.03669","72.65876","73.28121",".."
Arab World,"ARB","Literacy rate, population 25-64 years, female (%)","UIS.LR.AG25T64.F","53.7378","55.54076","54.39017","55.54081","58.48538","59.8777","60.91337","61.97422","62.78271","63.73196",".."
Arab World,"ARB","Literacy rate, population 25-64 years, male (%)","UIS.LR.AG25T64.M","76.96198","77.68751","76.74051","77.30127","78.87271","80.21302","80.56643","80.9001","81.31195","81.65688",".."
Arab World,"ARB","Harmonized Test Scores, Total","HD.HCI.HLOS","..","..","..","..","..","..","..","..","..","..",".."
Arab World,"ARB","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","..","..","..","..","..","..","..","..","..","..",".."
Arab World,"ARB","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","..","..","..","..","..","..","..","..","..","..",".."
Arab World,"ARB","Percentage of enrolment in primary education in private institutions (%)","SE.PRM.PRIV.ZS","7.02043","7.2388","7.62363","7.80011","7.81669","8.40145","8.81721","8.9364","9.38892","9.54994","9.69744"
Arab World,"ARB","Percentage of enrolment in lower secondary education in private institutions (%)","UIS.PRP.2","..","..","..","..","..","..","..","..","..","..",".."
Arab World,"ARB","Percentage of enrolment in secondary education in private institutions (%)","SE.SEC.PRIV.ZS","7.05222","7.30719","7.37976","7.5466","7.76119","8.11308","8.54261","8.86214","8.91056","9.27017","9.44561"
Arab World,"ARB","Percentage of enrolment in tertiary education in private institutions (%)","SE.TER.PRIV.ZS","..","..","..","..","..","..","..","..","..","..",".."
Arab World,"ARB","Percentage of enrolment in upper secondary education in private institutions (%)","UIS.PRP.3","..","..","..","..","..","..","..","..","..","..",".."
Argentina,"ARG","Barro-Lee: Average years of primary schooling, age 15+, female","BAR.PRM.SCHL.15UP.FE","..","..","..","6.53","..","..","..","..","..","..",".."
Argentina,"ARG","Barro-Lee: Average years of primary schooling, age 15+, total","BAR.PRM.SCHL.15UP","..","..","..","6.57","..","..","..","..","..","..",".."
Argentina,"ARG","Barro-Lee: Average years of secondary schooling, age 15+, female","BAR.SEC.SCHL.15UP.FE","..","..","..","2.71","..","..","..","..","..","..",".."
Argentina,"ARG","Barro-Lee: Average years of secondary schooling, age 15+, total","BAR.SEC.SCHL.15UP","..","..","..","2.66","..","..","..","..","..","..",".."
Argentina,"ARG","Barro-Lee: Average years of tertiary schooling, age 15+, total","BAR.TER.SCHL.15UP","..","..","..","0.28","..","..","..","..","..","..",".."
Argentina,"ARG","Barro-Lee: Average years of tertiary schooling, age 15+, female","BAR.TER.SCHL.15UP.FE","..","..","..","0.33","..","..","..","..","..","..",".."
Argentina,"ARG","Barro-Lee: Average years of total schooling, age 15+, female","BAR.SCHL.15UP.FE","..","..","..","9.57","..","..","..","..","..","..",".."
Argentina,"ARG","Barro-Lee: Average years of total schooling, age 15+, total","BAR.SCHL.15UP","..","..","..","9.51","..","..","..","..","..","..",".."
Argentina,"ARG","Literacy rate, population 25-64 years, both sexes (%)","UIS.LR.AG25T64","..","..","99.06809","99.15836","99.28843","99.18616","99.30061","99.20745","99.28286","99.29682",".."
Argentina,"ARG","Literacy rate, population 25-64 years, female (%)","UIS.LR.AG25T64.F","..","..","99.17955","99.15388","99.30123","99.20743","99.38753","99.21759","99.33819","99.43142",".."
Argentina,"ARG","Literacy rate, population 25-64 years, male (%)","UIS.LR.AG25T64.M","..","..","98.94277","99.16336","99.27467","99.16278","99.20307","99.19631","99.22164","99.1493",".."
Argentina,"ARG","Harmonized Test Scores, Total","HD.HCI.HLOS","..","..","..","..","..","..","..","..","..","..","424"
Argentina,"ARG","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","..","..","..","..","..","..","..","..","..","..","427"
Argentina,"ARG","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","..","..","..","..","..","..","..","..","..","..","421"
Argentina,"ARG","Percentage of enrolment in primary education in private institutions (%)","SE.PRM.PRIV.ZS","21.84564","22.69051","23.16617","23.6371","23.95075","24.73651","25.32307","25.77523","26.16019","26.37001",".."
Argentina,"ARG","Percentage of enrolment in lower secondary education in private institutions (%)","UIS.PRP.2","22.99423","22.99295","23.13998","22.63689","23.18625","23.90759","24.05441","24.03118","24.40206","24.28307",".."
Argentina,"ARG","Percentage of enrolment in secondary education in private institutions (%)","SE.SEC.PRIV.ZS","26.22894","26.33421","26.02571","25.36574","25.45697","26.10511","26.23107","26.15356","26.51714","26.54934",".."
Argentina,"ARG","Percentage of enrolment in tertiary education in private institutions (%)","SE.TER.PRIV.ZS","26.01831","26.89291","27.33815","27.07743","25.69233","25.97639","26.2019","25.77264","25.23677","24.77454",".."
Argentina,"ARG","Percentage of enrolment in upper secondary education in private institutions (%)","UIS.PRP.3","31.6797","32.03804","31.07782","30.19833","29.06967","29.57539","29.62152","29.42601","29.7546","30.01719",".."
Armenia,"ARM","Barro-Lee: Average years of primary schooling, age 15+, female","BAR.PRM.SCHL.15UP.FE","..","..","..","4.69","..","..","..","..","..","..",".."
Armenia,"ARM","Barro-Lee: Average years of primary schooling, age 15+, total","BAR.PRM.SCHL.15UP","..","..","..","4.62","..","..","..","..","..","..",".."
Armenia,"ARM","Barro-Lee: Average years of secondary schooling, age 15+, female","BAR.SEC.SCHL.15UP.FE","..","..","..","5.32","..","..","..","..","..","..",".."
Armenia,"ARM","Barro-Lee: Average years of secondary schooling, age 15+, total","BAR.SEC.SCHL.15UP","..","..","..","5.29","..","..","..","..","..","..",".."
Armenia,"ARM","Barro-Lee: Average years of tertiary schooling, age 15+, total","BAR.TER.SCHL.15UP","..","..","..","0.81","..","..","..","..","..","..",".."
