country,year,type,value,source
Chile,2003,globalAvgOverall,9,"Patrinos, Ridao and Sakellariou (2009)"
China,2001,secondary,7.133333333333333,Zhang et al (2005)
China,2001,higher,9.325,Zhang et al (2005)
China,2002,male,7.5,Xiu and Gunderson (2013)
China,2002,female,8.8,Xiu and Gunderson (2013)
China,2009,overall,10.33,"Ding, Yang, and Ha (2013)"
China,2009,globalAvgOverall,9,"Ding, Yang, and Ha (2013)"
Colombia,2014,overall,11.3,Tenjo et al. (2015)
Colombia,2014,male,10.5,Tenjo et al. (2015)
Colombia,2014,female,12.2,Tenjo et al. (2015)
Colombia,2014,globalAvgOverall,9,Tenjo et al. (2015)
Costa Rica,1989,male,10.5,Psacharopoulos (1994)
Costa Rica,1989,female,13.5,Psacharopoulos (1994)
Costa Rica,1992,overall,8.5,Banerjee and Duflo (2005)
Costa Rica,1992,globalAvgOverall,9,Banerjee and Duflo (2005)
Cote d'Ivoire,1987,overall,13.1,Psacharopoulos and Patrinos (2004); Banerjee and Duflo (2005)
Cote d'Ivoire,1987,overall,6.8,"Peet, Fink and Fawzi (2015)"
Cote d'Ivoire,1987,primary,26.3,Psacharopoulos and Patrinos (2004); Banerjee and Duflo (2005)
Cote d'Ivoire,1987,primary,15,Psacharopoulos and Patrinos (2004); Banerjee and Duflo (2005)
Cote d'Ivoire,1987,primary,26.3,"Peet, Fink and Fawzi (2015)"
Cote d'Ivoire,1987,primary,15,"Peet, Fink and Fawzi (2015)"
Cote d'Ivoire,1987,secondary,3.2,Psacharopoulos and Patrinos (2004); Banerjee and Duflo (2005)
Cote d'Ivoire,1987,secondary,22,Psacharopoulos and Patrinos (2004); Banerjee and Duflo (2005)
Cote d'Ivoire,1987,secondary,3.2,"Peet, Fink and Fawzi (2015)"
Cote d'Ivoire,1987,secondary,22,"Peet, Fink and Fawzi (2015)"
Cote d'Ivoire,1987,higher,13.7,Psacharopoulos and Patrinos (2004); Banerjee and Duflo (2005)
Cote d'Ivoire,1987,higher,16,Psacharopoulos and Patrinos (2004); Banerjee and Duflo (2005)
Cote d'Ivoire,1987,higher,13.7,"Peet, Fink and Fawzi (2015)"
Cote d'Ivoire,1987,higher,16,"Peet, Fink and Fawzi (2015)"
Cote d'Ivoire,1987,male,13.6,Psacharopoulos and Patrinos (2004); Banerjee and Duflo (2005)
Cote d'Ivoire,1987,male,5.7,Psacharopoulos and Patrinos (2004); Banerjee and Duflo (2005)
Cote d'Ivoire,1987,male,13.6,"Peet, Fink and Fawzi (2015)"
Cote d'Ivoire,1987,male,5.7,"Peet, Fink and Fawzi (2015)"
Cote d'Ivoire,1987,female,12.1,Psacharopoulos and Patrinos (2004); Banerjee and Duflo (2005)
Cote d'Ivoire,1987,female,10.1,Psacharopoulos and Patrinos (2004); Banerjee and Duflo (2005)
Cote d'Ivoire,1987,female,12.1,"Peet, Fink and Fawzi (2015)"
Cote d'Ivoire,1987,female,10.1,"Peet, Fink and Fawzi (2015)"
Cote d'Ivoire,1987,globalAvgOverall,9,Psacharopoulos and Patrinos (2004); Banerjee and Duflo (2005)
Cote d'Ivoire,1987,globalAvgOverall,9,"Peet, Fink and Fawzi (2015)"
Cote d'Ivoire,1987,overall,13.1,"Peet, Fink and Fawzi (2015)"
Cote d'Ivoire,1987,overall,13.1,Schultz (2004)
Cote d'Ivoire,1987,overall,6.8,Schultz (2004)
Cote d'Ivoire,1987,primary,15,Schultz (2004)
Cote d'Ivoire,1987,secondary,3.2,Schultz (2004)
Cote d'Ivoire,1987,secondary,22,Schultz (2004)
Cote d'Ivoire,1987,higher,13.7,Schultz (2004)
Cote d'Ivoire,1987,higher,16,Schultz (2004)
Cote d'Ivoire,1987,male,13.6,Schultz (2004)
Cote d'Ivoire,1987,male,5.7,Schultz (2004)
Cote d'Ivoire,1987,female,12.1,Schultz (2004)
Cote d'Ivoire,1987,female,10.1,Schultz (2004)
Cote d'Ivoire,1987,globalAvgOverall,9,Schultz (2004)
Cote d'Ivoire,1987,primary,26.3,Schultz (2004)
Cote d'Ivoire,1987,overall,6.8,Psacharopoulos and Patrinos (2004); Banerjee and Duflo (2005)
Croatia,2001,overall,10.1,Sosic (2013)
Croatia,2001,globalAvgOverall,9,Sosic (2013)
Croatia,2004,male,6.2,Vujcic and Sosic (2009)
Croatia,2004,female,7.8,Vujcic and Sosic (2009)
Curacao,2001,higher,15,de Bruijn (2010)
Cyprus,1984,male,8.9,Psacharopoulos (1994)
Cyprus,1984,female,12.7,Psacharopoulos (1994)
Cyprus,1994,overall,5.2,Banerjee and Duflo (2005)
Cyprus,1994,globalAvgOverall,9,Banerjee and Duflo (2005)
Czech Republic,1996,female,9.4,Vecernik (2001)
Czech Republic,1997,higher,11.05,"Filer, Jurajda, Planovsky (1999)"
Czech Republic,1997,male,9,"Filer, Jurajda, Planovsky (1999)"
Czech Republic,2002,overall,6.6,"Flabbi, Paternostro and Tiongson (2007)"
Czech Republic,2002,globalAvgOverall,9,"Flabbi, Paternostro and Tiongson (2007)"
Denmark,1995,male,6.4,"Harmon, Oosterbeek and Walker (2003); Martins and Pereira (2004)"
Denmark,1995,female,4.9,"Harmon, Oosterbeek and Walker (2003); Martins and Pereira (2004)"
Denmark,1997,overall,12.4,Polachek (2008)
Denmark,1997,globalAvgOverall,9,Polachek (2008)
Djibouti,1996,overall,11.6,Anos-Casero and Seshan (2006)
Djibouti,1996,primary,10,Anos-Casero and Seshan (2006)
Djibouti,1996,secondary,10.8,Anos-Casero and Seshan (2006)
Djibouti,1996,higher,8.9,Anos-Casero and Seshan (2006)
Djibouti,1996,globalAvgOverall,9,Anos-Casero and Seshan (2006)
Dominica,1999,primary,15.1,Reilly and Bellony (2009)
Dominica,1999,secondary,10.98,Reilly and Bellony (2009)
Dominica,1999,higher,15.1,Reilly and Bellony (2009)
Dominican Republic,1989,male,7.8,Psacharopoulos (1994)
Dominican Republic,1989,female,12,Psacharopoulos (1994)
Dominican Republic,1995,overall,9.4,Kaboski (2003)
Dominican Republic,1995,globalAvgOverall,9,Kaboski (2003)
Dominican Republic,2003,secondary,7,World Bank (2005)
Dominican Republic,2003,higher,15,World Bank (2005)
Ecuador,2002,overall,6.5,"Peet, Fink and Fawzi (2015)"
Ecuador,2002,primary,6.6,"Peet, Fink and Fawzi (2015)"
Ecuador,2002,secondary,6.3,"Peet, Fink and Fawzi (2015)"
Ecuador,2002,higher,6.7,"Peet, Fink and Fawzi (2015)"
Ecuador,2002,male,5.9,"Peet, Fink and Fawzi (2015)"
Ecuador,2002,female,7.6,"Peet, Fink and Fawzi (2015)"
Ecuador,2002,globalAvgOverall,9,"Peet, Fink and Fawzi (2015)"
Egypt,2011,overall,3.4,Rizk (2016)
Egypt,2011,primary,2.1,Rizk (2016)
Egypt,2011,secondary,3,Rizk (2016)
Egypt,2011,higher,9.2,Rizk (2016)
Egypt,2011,male,2.9,Rizk (2016)
Egypt,2011,female,4.8,Rizk (2016)
Egypt,2011,globalAvgOverall,9,Rizk (2016)
El Salvador,1990,male,9.6,Psacharopoulos (1994); Funkhouser (1996)
El Salvador,1990,female,9.8,Psacharopoulos (1994); Funkhouser (1996)
El Salvador,1992,overall,7.6,Funkhouser (1996)
El Salvador,1992,globalAvgOverall,9,Funkhouser (1996)
Eritrea,2002,overall,10.9,Kifle (2007)
Eritrea,2002,globalAvgOverall,9,Kifle (2007)
Estonia,1994,overall,5.4,Kroncke and Smith (1999)
Estonia,1994,globalAvgOverall,9,Kroncke and Smith (1999)
Estonia,2000,secondary,1.575,Hazans (2003)
Estonia,2000,higher,15.299999999999999,Hazans (2003)
Ethiopia,2011,overall,12.5,"Peet, Fink and Fawzi (2015)"
Ethiopia,2011,primary,17.3,"Peet, Fink and Fawzi (2015)"
Ethiopia,2011,secondary,12.9,"Peet, Fink and Fawzi (2015)"
Ethiopia,2011,higher,12.7,"Peet, Fink and Fawzi (2015)"
Ethiopia,2011,male,13,"Peet, Fink and Fawzi (2015)"
Ethiopia,2011,female,10.7,"Peet, Fink and Fawzi (2015)"
Ethiopia,2011,globalAvgOverall,9,"Peet, Fink and Fawzi (2015)"
Finland,1993,male,7.8,Asplund (1999)
Finland,1993,female,8.3,Asplund (1999)
Finland,1995,overall,8.2,Kaboski (2003)
Finland,1995,globalAvgOverall,9,Kaboski (2003)
France,1995,male,7.5,"Harmon, Oosterbeek and Walker (2003); Kaboski (2003)"
France,1995,female,8.1,"Harmon, Oosterbeek and Walker (2003); Kaboski (2003)"
France,2001,overall,11,Arbak (2012)
France,2001,globalAvgOverall,9,Arbak (2012)
Gambia,2003,overall,6.8,Foltz and Gajigo (2012)
Gambia,2003,globalAvgOverall,9,Foltz and Gajigo (2012)
Georgia,2006,overall,6.9,Botchorishvili (2007)
Georgia,2006,male,8.2,Botchorishvili (2007)
Georgia,2006,female,5.099,Botchorishvili (2007)
Georgia,2006,globalAvgOverall,9,Botchorishvili (2007)
Germany,1995,male,7.9,"Harmon, Oosterbeek and Walker (2003); Martins and Pereira (2004)"
Germany,1995,female,9.8,"Harmon, Oosterbeek and Walker (2003); Martins and Pereira (2004)"
Germany,2006,overall,6.9,Kamhöfer and Schmitz (2013)
Germany,2006,globalAvgOverall,9,Kamhöfer and Schmitz (2013)
Ghana,2007,overall,4.2,"Peet, Fink and Fawzi (2015)"
Ghana,2007,primary,4.4,"Peet, Fink and Fawzi (2015)"
Ghana,2007,secondary,2.9,"Peet, Fink and Fawzi (2015)"
Ghana,2007,higher,5,"Peet, Fink and Fawzi (2015)"
Ghana,2007,male,7,"Peet, Fink and Fawzi (2015)"
Ghana,2007,female,5.3,"Peet, Fink and Fawzi (2015)"
Ghana,2007,globalAvgOverall,9,"Peet, Fink and Fawzi (2015)"
Great Britain,2002,overall,9,McGuinness and Bennett (2009)
Great Britain,2002,globalAvgOverall,9,McGuinness and Bennett (2009)
Great Britain,2006,male,6.2,Silles (2007)
Great Britain,2006,female,8.699,Silles (2007)
Greece,1994,male,6.3,"Harmon, Oosterbeek and Walker (2003); Martins and Pereira (2004)"
Greece,1994,female,8.6,"Harmon, Oosterbeek and Walker (2003); Martins and Pereira (2004)"
Greece,2001,overall,4,Arbak (2012)
Greece,2001,globalAvgOverall,9,Arbak (2012)
Guatemala,2000,overall,12.6,Psacharopoulos (1994)
Guatemala,2000,overall,9.4,"Peet, Fink and Fawzi (2015)"
Guatemala,2000,primary,6.4,Psacharopoulos (1994)
Guatemala,2000,primary,13.3,Psacharopoulos (1994)
Guatemala,2000,primary,6.4,"Peet, Fink and Fawzi (2015)"
Guatemala,2000,primary,13.3,"Peet, Fink and Fawzi (2015)"
Guatemala,2000,secondary,8.6,Psacharopoulos (1994)
Guatemala,2000,secondary,22.5,Psacharopoulos (1994)
Guatemala,2000,secondary,8.6,"Peet, Fink and Fawzi (2015)"
Guatemala,2000,secondary,22.5,"Peet, Fink and Fawzi (2015)"
Guatemala,2000,higher,9.8,Psacharopoulos (1994)
Guatemala,2000,higher,15.8,Psacharopoulos (1994)
Guatemala,2000,higher,9.8,"Peet, Fink and Fawzi (2015)"
Guatemala,2000,higher,15.8,"Peet, Fink and Fawzi (2015)"
Guatemala,2000,male,4.9,Psacharopoulos (1994)
Guatemala,2000,male,4.9,"Peet, Fink and Fawzi (2015)"
Guatemala,2000,female,5.5,Psacharopoulos (1994)
Guatemala,2000,female,5.5,"Peet, Fink and Fawzi (2015)"
Guatemala,2000,globalAvgOverall,9,Psacharopoulos (1994)
Guatemala,2000,globalAvgOverall,9,"Peet, Fink and Fawzi (2015)"
Guatemala,2000,overall,12.6,"Peet, Fink and Fawzi (2015)"
Guatemala,2000,overall,12.6,Laguna and Porta (2004)
Guatemala,2000,overall,9.4,Laguna and Porta (2004)
Guatemala,2000,primary,13.3,Laguna and Porta (2004)
Guatemala,2000,secondary,8.6,Laguna and Porta (2004)
Guatemala,2000,secondary,22.5,Laguna and Porta (2004)
Guatemala,2000,higher,9.8,Laguna and Porta (2004)
Guatemala,2000,higher,15.8,Laguna and Porta (2004)
Guatemala,2000,male,4.9,Laguna and Porta (2004)
Guatemala,2000,female,5.5,Laguna and Porta (2004)
Guatemala,2000,globalAvgOverall,9,Laguna and Porta (2004)
Guatemala,2000,primary,6.4,Laguna and Porta (2004)
Guyana,1997,secondary,4,World Bank (2005)
Guyana,1997,higher,10,World Bank (2005)
Honduras,1989,male,17.2,Psacharopoulos (1994); Funkhouser (1996)
Honduras,1989,female,19.8,Psacharopoulos (1994); Funkhouser (1996)
Honduras,1991,overall,9.3,Funkhouser (1996)
Honduras,1991,globalAvgOverall,9,Funkhouser (1996)
Hong Kong,1981,overall,6.1,Psacharopoulos (1994)
Hong Kong,1981,globalAvgOverall,9,Psacharopoulos (1994)
Hong Kong,1996,primary,8.6,Yeung (1999)
Hong Kong,1996,secondary,13.900000000000002,Yeung (1999)
Hong Kong,1996,higher,18.3,Yeung (1999)
Hungary,1992,higher,6.4,Newell and Reilly (1999)
Hungary,2000,male,10.5,"Flabbi, Paternostro and Tiongson (2007)"
Hungary,2000,female,10.5,"Flabbi, Paternostro and Tiongson (2007)"
Hungary,2004,overall,10.7,Campos and Jolliffe (2007)
Hungary,2004,globalAvgOverall,9,Campos and Jolliffe (2007)
India,1999,primary,5.375,Dutta (2006)
India,1999,primary,6.6,Kijima (2006)
India,1999,secondary,3.14,Dutta (2006)
India,1999,secondary,10.2,Dutta (2006)
India,1999,secondary,3.14,Kijima (2006)
India,1999,secondary,10.2,Kijima (2006)
India,1999,higher,6.109999999999999,Dutta (2006)
India,1999,higher,14.75,Dutta (2006)
India,1999,higher,6.109999999999999,Kijima (2006)
India,1999,higher,14.75,Kijima (2006)
India,1999,primary,5.375,Kijima (2006)
India,1999,primary,6.6,Dutta (2006)
India,2008,overall,10.8,World Bank (2011)
India,2008,male,10.040317394140464,World Bank (2011)
India,2008,female,11.22,World Bank (2011)
India,2008,globalAvgOverall,9,World Bank (2011)
Indonesia,2002,primary,4.5,Van Leeuwen (2007)
Indonesia,2002,secondary,20.8,Van Leeuwen (2007)
Indonesia,2002,higher,20.1,Van Leeuwen (2007)
Indonesia,2007,overall,10.7,Sohn (2013)
Indonesia,2007,globalAvgOverall,9,Sohn (2013)
Iran,2006,overall,7.6,"Salehi, Tunali, Assaad (2009)"
Iran,2006,globalAvgOverall,9,"Salehi, Tunali, Assaad (2009)"
Iraq,2006,overall,0.7,"Peet, Fink and Fawzi (2015)"
Iraq,2006,primary,2.2,"Peet, Fink and Fawzi (2015)"
Iraq,2006,secondary,1.5,"Peet, Fink and Fawzi (2015)"
Iraq,2006,higher,0.9,"Peet, Fink and Fawzi (2015)"
Iraq,2006,male,0.5,"Peet, Fink and Fawzi (2015)"
Iraq,2006,female,3,"Peet, Fink and Fawzi (2015)"
Iraq,2006,globalAvgOverall,9,"Peet, Fink and Fawzi (2015)"
Ireland,1994,male,9,"Harmon, Oosterbeek and Walker (2003)"
Ireland,1994,female,13.7,"Harmon, Oosterbeek and Walker (2003)"
Ireland,1995,overall,8.5,"Trostel, Walker and Woolley (2002)"
Ireland,1995,globalAvgOverall,9,"Trostel, Walker and Woolley (2002)"
Israel,1995,male,6,"Harmon, Oosterbeek and Walker (2003); Kaboski (2003)"
Israel,1995,female,6.9,"Harmon, Oosterbeek and Walker (2003); Kaboski (2003)"
Israel,2001,overall,12.1,Arbak (2012)
Israel,2001,globalAvgOverall,9,Arbak (2012)
Italy,1993,primary,3.88,Brunello and Miniaci (1997)
Italy,1993,secondary,10.533333333333333,Brunello and Miniaci (1997)
Italy,1995,male,4.6,"Brunello, Comi and Lucifora (1999)"
Italy,1995,male,6.2,"Harmon, Oosterbeek and Walker (2003); Martins and Pereira (2004)"
Italy,1995,female,6.1,"Brunello, Comi and Lucifora (1999)"
Italy,1995,female,7.7,"Brunello, Comi and Lucifora (1999)"
Italy,1995,female,6.1,"Harmon, Oosterbeek and Walker (2003); Martins and Pereira (2004)"
Italy,1995,female,7.7,"Harmon, Oosterbeek and Walker (2003); Martins and Pereira (2004)"
Italy,1995,male,4.6,"Harmon, Oosterbeek and Walker (2003); Martins and Pereira (2004)"
Italy,1995,male,6.2,"Brunello, Comi and Lucifora (1999)"
Italy,2001,overall,15.7,Arbak (2012)
Italy,2001,globalAvgOverall,9,Arbak (2012)
Jamaica,1989,overall,28.8,Psacharopoulos (1994)
Jamaica,1989,male,12.3,Psacharopoulos (1994)
Jamaica,1989,female,21.5,Psacharopoulos (1994)
Jamaica,1989,globalAvgOverall,9,Psacharopoulos (1994)
Japan,1995,overall,7.5,"Trostel, Walker and Woolley (2002)"
Japan,1995,globalAvgOverall,9,"Trostel, Walker and Woolley (2002)"
Jordan,2001,overall,6.7,Arbak (2012)
Jordan,2001,globalAvgOverall,9,Arbak (2012)
Kazakhstan,1996,higher,14.3,Newell and Reilly (1999)
Kazakhstan,2001,overall,8,Arabsheibani and Mussurov (2006)
Kazakhstan,2001,male,8,Arabsheibani and Mussurov (2006)
Kazakhstan,2001,female,11.5,Arabsheibani and Mussurov (2006)
Kazakhstan,2001,globalAvgOverall,9,Arabsheibani and Mussurov (2006)
Kenya,1995,overall,13.2,Banerjee and Duflo (2005)
Kenya,1995,primary,2,Banerjee and Duflo (2005)
Kenya,1995,secondary,12,Banerjee and Duflo (2005)
Kenya,1995,higher,69,Banerjee and Duflo (2005)
Kenya,1995,globalAvgOverall,9,Banerjee and Duflo (2005)
Kenya,1995,overall,13.2,Wambugu (2002)
Kenya,1995,primary,2,Wambugu (2002)
Kenya,1995,secondary,12,Wambugu (2002)
Kenya,1995,higher,69,Wambugu (2002)
Kenya,1995,globalAvgOverall,9,Wambugu (2002)
Korea,2002,overall,7.3,"Kwack, Lee and Choi (2007)"
Korea,2002,male,5.9,"Kwack, Lee and Choi (2007)"
Korea,2002,female,8.1,"Kwack, Lee and Choi (2007)"
Korea,2002,globalAvgOverall,9,"Kwack, Lee and Choi (2007)"
Kuwait,2010,overall,4.8,Alqattan (2012)
Kuwait,2010,male,5.1,Alqattan (2012)
Kuwait,2010,female,5.7,Alqattan (2012)
Kuwait,2010,globalAvgOverall,9,Alqattan (2012)
Kyrgyzstan,1996,overall,4,"Peet, Fink and Fawzi (2015)"
Kyrgyzstan,1996,primary,-3.9,"Peet, Fink and Fawzi (2015)"
Kyrgyzstan,1996,male,4.3,"Peet, Fink and Fawzi (2015)"
Kyrgyzstan,1996,female,3.9,"Peet, Fink and Fawzi (2015)"
Kyrgyzstan,1996,globalAvgOverall,9,"Peet, Fink and Fawzi (2015)"
Kyrgyzstan,1997,secondary,6.500000000000001,Anderson and Pomfret (2000)
Kyrgyzstan,1997,higher,5.1000000000000005,Anderson and Pomfret (2000)
Latvia,2002,secondary,1.3666666666666665,Hazans (2005)
Latvia,2012,overall,7.69,"Vilerts, Krasnopjorovs, Brekis (2015)"
Latvia,2012,higher,9.825000000000001,"Vilerts, Krasnopjorovs, Brekis (2015)"
Latvia,2012,male,8,"Vilerts, Krasnopjorovs, Brekis (2015)"
Latvia,2012,female,10,"Vilerts, Krasnopjorovs, Brekis (2015)"
Latvia,2012,globalAvgOverall,9,"Vilerts, Krasnopjorovs, Brekis (2015)"
Lebanon,2002,primary,5.63,Dah and Hammami (2002)
