country,year,Region,inc,yrs.sch,overall,primary,secondary,higher,Prim..10,Sec..11,Higher..12,primary.soc,secondary.soc,higher.soc,male,female,private,public,source
Austria,1983,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.87,NA,NA,NA,Hofer and Pichelmann (1997)
Austria,1983,Advanced Economies,High,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,10.6,NA,NA,Fersterer and Winter-Ebmer (2003)
Austria,1983,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.63,NA,NA,NA,Hofer and Pichelmann (1997)
Austria,1985,Advanced Economies,High,8.1,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,8.8,NA,NA,Fersterer and Winter-Ebmer (2003); Kaboski (2003)
Austria,1987,Advanced Economies,High,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7.6,NA,NA,Fersterer and Winter-Ebmer (2003)
Austria,1987,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.44,NA,NA,NA,Hofer and Pichelmann (1997)
Austria,1989,Advanced Economies,High,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,8.5,NA,NA,Fersterer and Winter-Ebmer (2003)
Austria,1989,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,Hofer and Pichelmann (1997)
Austria,1991,Advanced Economies,High,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,7.9,NA,NA,Fersterer and Winter-Ebmer (2003)
Austria,1991,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.37,NA,NA,NA,Hofer and Pichelmann (1997)
Austria,1993,Advanced Economies,High,8.6,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7.3,NA,NA,Fersterer and Winter-Ebmer (2003); Martins and Pereira (2004)
Austria,1993,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22,NA,NA,NA,Hofer and Pichelmann (1997)
Austria,1995,Advanced Economies,High,8.8,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,6.7,NA,NA,Fersterer and Winter-Ebmer (2003); Kaboski (2003)
Austria,1997,Advanced Economies,High,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,6.6,NA,NA,Fersterer and Winter-Ebmer (2003)
Austria,2008,Advanced Economies,High,9.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glocker and Steiner (2011)
Austria,2009,Advanced Economies,High,NA,NA,NA,NA,NA,NA,11.85,10.4,NA,8.5,8.2,NA,NA,NA,NA,OECD (2013)
Austria,2011,Advanced Economies,High,NA,NA,NA,NA,NA,NA,10.35,9.9,NA,8.8,7.1,NA,NA,NA,NA,OECD (2015)
Austria,1981,Advanced Economies,High,NA,NA,NA,11.3,4.2,NA,NA,NA,NA,NA,NA,8.69,NA,NA,NA,Hofer and Pichelmann (1997)
Azerbaijan,1995,Europe and Central Asia,Middle,NA,NA,NA,NA,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Newell and Reilly (1999)
Azerbaijan,1995,Europe and Central Asia,Middle,9.817,3.7,5.5,4.2,4,NA,NA,NA,NA,NA,NA,3.8,4.5,NA,NA,"Peet, Fink and Fawzi (2015)"
Bahamas,1970,Latin America and Caribbean,High,NA,NA,NA,NA,NA,NA,26.1,NA,NA,20.6,NA,NA,NA,NA,NA,Psacharopoulos (1994)
Bangladesh,1999,South Asia,Middle,4.3,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,13.2,NA,NA,Asadullah (2006)
Bangladesh,2000,South Asia,Middle,4.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asadullah (2006)
Bangladesh,2006,South Asia,Middle,5.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taposh and Lin (2009)
Barbados,1999,Latin America and Caribbean,High,NA,NA,NA,4.8,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Griffith (2001)
Belarus,1999,Europe and Central Asia,Middle,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yemtsov, Cnobloch, Mete (2006)"
Belarus,2000,Europe and Central Asia,Middle,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yemtsov, Cnobloch, Mete (2006)"
Belarus,2002,Europe and Central Asia,Middle,9.3,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yemtsov, Cnobloch, Mete (2006)"
Belarus,1996,Europe and Central Asia,Middle,NA,NA,0.026,0.034,0.118,NA,NA,NA,NA,NA,NA,10.1,11.9,NA,NA,Pastore and Verashchagina (2006)
Belarus,2001,Europe and Central Asia,Middle,NA,NA,0.025,0.042857143,0.116,NA,NA,NA,NA,NA,NA,9.4,11.7,NA,NA,Pastore and Verashchagina (2006)
Belgium,1960,Advanced Economies,High,NA,NA,NA,NA,NA,NA,21.2,8.7,NA,17.1,6.7,NA,NA,NA,NA,Psacharopoulos (1994)
Belgium,1997,Advanced Economies,High,9.9,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos (1994)
Belgium,2009,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,10.7,NA,NA,14.5,NA,NA,NA,NA,OECD (2013)
Belgium,2011,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OECD (2015)
Belgium,1992,Advanced Economies,High,NA,NA,NA,2,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nonneman and Cortens (1997)
Belize,2005,Latin America and Caribbean,Middle,9.3403,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hausman and Klinger (2007)
Bolivia,1980,Latin America and Caribbean,Middle,5.5,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Bolivia,1981,Latin America and Caribbean,Middle,5.7,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,World Bank (1996b)
Bolivia,1988,Latin America and Caribbean,Middle,6.9,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,World Bank (1996b)
Bolivia,1989,Latin America and Caribbean,Middle,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,7.7,8.7,6.7,Psacharopoulos (1994)
Bolivia,1989,Latin America and Caribbean,Middle,7.1,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,World Bank (1996b)
Bolivia,1990,Latin America and Caribbean,Middle,NA,NA,NA,NA,NA,20,6,19,13,6,13,NA,NA,NA,NA,"Psacharopoulos, Ariera and Mattson (1997)"
Bolivia,1991,Latin America and Caribbean,Middle,7.4,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,World Bank (1996b)
Bolivia,1992,Latin America and Caribbean,Middle,7.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,World Bank (1996b)
Bolivia,1993,Latin America and Caribbean,Middle,7.6,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos and Patrinos (2004)
Bolivia,1995,Latin America and Caribbean,Middle,7.8,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Bolivia,2000,Latin America and Caribbean,Middle,8.3,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jimenez, Casazola and Aguilar (2006)"
Bolivia,2002,Latin America and Caribbean,Middle,8.3,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Patrinos, Ridao and Sakellariou (2009)"
Bolivia,1990,Latin America and Caribbean,Middle,7.3,10.05,19,8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos and Mattson (1998)
Bosnia & Herzegovina,2002,Europe and Central Asia,Middle,8.726,8.1,12.5,6.4,8.1,NA,NA,NA,NA,NA,NA,6.7,11.1,NA,NA,"Peet, Fink and Fawzi (2015)"
Botswana,1975,Sub-Saharan Africa,Middle,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,18.2,NA,NA,Psacharopoulos (1994)
Botswana,1979,Sub-Saharan Africa,Middle,3.3,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos (1994)
Botswana,1980,Sub-Saharan Africa,Middle,3.1,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Botswana,1983,Sub-Saharan Africa,Middle,NA,NA,NA,NA,NA,99,76,38,42,41,15,NA,NA,NA,NA,Psacharopoulos (1994)
Botswana,1995,Sub-Saharan Africa,Middle,8.2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Siphambe (2000)
Botswana,2004,Sub-Saharan Africa,Middle,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,15.2,NA,NA,Siphambe (2008)
Botswana,1994,Sub-Saharan Africa,Middle,8.1,12,20,40,5,NA,NA,NA,NA,NA,NA,12,18,NA,NA,Siphambe (2000)
Brazil,1970,Latin America and Caribbean,Middle,3.3,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos (1981)
Brazil,1970,Latin America and Caribbean,Middle,NA,NA,NA,NA,NA,NA,24.7,13.9,NA,NA,NA,NA,NA,19.3,14.9,Psacharopoulos (1985)
Brazil,1980,Latin America and Caribbean,Middle,3,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,15.6,NA,NA,Psacharopoulos (1994)
Brazil,1980,Latin America and Caribbean,Middle,NA,NA,NA,NA,NA,NA,11,16,NA,NA,NA,NA,NA,NA,NA,Dougherty and Jimenez (1991)
Brazil,1989,Latin America and Caribbean,Middle,5.3,14.7,NA,NA,NA,36.6,5.1,28.2,35.6,5.1,21.4,15.4,14.2,15,11.4,Psacharopoulos (1994)
Brazil,1990,Latin America and Caribbean,Middle,4.7,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Brazil,1998,Latin America and Caribbean,Middle,6.4,12.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banerjee and Duflo (2005)
Brazil,2001,Latin America and Caribbean,Middle,6.4,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Patrinos, Ridao and Sakellariou (2009)"
Brazil,1997,Latin America and Caribbean,Middle,7.002,11.1,10.8,8.8,12.6,NA,NA,NA,NA,NA,NA,10.8,11.6,NA,NA,"Peet, Fink and Fawzi (2015)"
Bulgaria,1985,Europe and Central Asia,Middle,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5.7,NA,NA,"Trostel, Walker and Woolley (2002)"
Bulgaria,1990,Europe and Central Asia,Middle,8.4,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jones and Simon (2005)
Bulgaria,1991,Europe and Central Asia,Middle,8.5,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jones and Simon (2005)
Bulgaria,1992,Europe and Central Asia,Middle,8.6,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jones and Simon (2005)
Bulgaria,1993,Europe and Central Asia,Middle,8.7,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flabbi, Paternostro and Tiongson (2007)"
Bulgaria,1995,Europe and Central Asia,Middle,8.9,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flabbi, Paternostro and Tiongson (2007)"
Bulgaria,1997,Europe and Central Asia,Middle,9,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,6.8,NA,NA,Rutkowski (2001)
Bulgaria,1999,Europe and Central Asia,Middle,9.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flabbi, Paternostro and Tiongson (2007)"
Bulgaria,2000,Europe and Central Asia,Middle,9.3,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flabbi, Paternostro and Tiongson (2007)"
Bulgaria,2002,Europe and Central Asia,Middle,10.2,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flabbi, Paternostro and Tiongson (2007)"
Bulgaria,2003,Europe and Central Asia,Middle,9.7066,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flabbi, Paternostro and Tiongson (2008)"
Bulgaria,1999,Europe and Central Asia,Middle,10.1035,4.1,5.3,4.9,4.6,NA,NA,NA,NA,NA,NA,6.7,11.1,NA,NA,"Peet, Fink and Fawzi (2015)"
Burkina Faso,1980,Sub-Saharan Africa,Low,NA,NA,NA,NA,NA,NA,NA,NA,25.9,60.6,NA,NA,NA,NA,NA,Psacharopoulos (1985)
Burkina Faso,1980,Sub-Saharan Africa,Low,0.7,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos (1994)
Burkina Faso,1982,Sub-Saharan Africa,Low,NA,NA,NA,NA,NA,NA,NA,NA,20.1,14.9,21.3,NA,NA,NA,NA,Psacharopoulos (1994)
Burkina Faso,1994,Sub-Saharan Africa,Low,NA,NA,9.9,16.4,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kazianga (2004)
Burundi,2006,Sub-Saharan Africa,Low,NA,NA,11,18,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Barouni and Broecke (2014)
Cambodia,2007,East Asia and Pacific,Low,7.6,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lall (2008)
Cambodia,2004,East Asia and Pacific,Low,4.2,7.15,4.1,-0.2,1.625,NA,NA,NA,NA,NA,NA,7.2,7.1,NA,NA,Lall and Sakellariou (2010)
Cambodia,2007,East Asia and Pacific,Low,4.6,6.7,3.675,-0.016666667,1.1,NA,NA,NA,NA,NA,NA,6.6,6.8,NA,NA,Lall and Sakellariou (2010)
Cambodia,1997,East Asia and Pacific,Low,3.8,2.5,0.425,0.058333333,0.675,NA,NA,NA,NA,NA,NA,3.3,1.7,NA,NA,Lall and Sakellariou (2010)
Cameroon,1995,Sub-Saharan Africa,Middle,5,5.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banerjee and Duflo (2005)
Cameroon,1994,Sub-Saharan Africa,Middle,NA,NA,5.2,26.3,27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amin and Awung (2005)
Canada,1960,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,17.4,NA,NA,14.9,NA,NA,NA,NA,Stager (1989)
Canada,1971,Advanced Economies,High,9.1,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos (1981)
Canada,1980,Advanced Economies,High,10.2,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Canada,1981,Advanced Economies,High,10,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patrinos (1995)
Canada,1985,Advanced Economies,High,9.9,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Canada,1985,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,12.1,NA,NA,NA,NA,Stager (1989)
Canada,1986,Advanced Economies,High,10,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patrinos (1995)
Canada,1989,Advanced Economies,High,10.2,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,Psacharopoulos and Patrinos (2004)
Canada,1990,Advanced Economies,High,10.3,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Canada,1994,Advanced Economies,High,NA,NA,NA,NA,NA,NA,7.8,13,NA,NA,NA,NA,NA,NA,NA,Cohn (1997)
Canada,1995,Advanced Economies,High,10.7,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos (1994)
Canada,1997,Advanced Economies,High,10.8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos (1994)
Canada,1998,Advanced Economies,High,10.9,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos (1994)
Canada,2001,Advanced Economies,High,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taposh and Lin (2009)
Canada,2009,Advanced Economies,High,NA,NA,NA,NA,NA,NA,10.65,12.25,NA,4.95,8.65,NA,NA,NA,NA,OECD (2013)
Canada,2011,Advanced Economies,High,NA,NA,NA,NA,NA,NA,11.15,12.85,NA,6.85,7.35,NA,NA,NA,NA,OECD (2015)
Chile,1960,Advanced Economies,High,5.2,11.2,NA,NA,NA,33.1,12.5,11.6,17.2,10.6,6.8,NA,NA,NA,NA,Riveros (1990)
Chile,1974,Advanced Economies,High,6.5,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patrinos (1995)
Chile,1975,Advanced Economies,High,6.6,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Chile,1980,Advanced Economies,High,7,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patrinos (1995)
Chile,1985,Advanced Economies,High,7.7,15.1,NA,NA,NA,27.6,11,10.3,12.4,9.2,6.9,NA,NA,NA,NA,Riveros (1990)
Chile,1987,Advanced Economies,High,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,12.6,NA,NA,Psacharopoulos (1994)
Chile,1989,Advanced Economies,High,8.5,12,NA,NA,NA,9.7,12.9,20.7,8.1,11.1,14,12.1,13.2,11.4,11.2,Psacharopoulos (1994)
Chile,1990,Advanced Economies,High,8.4,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Chile,2003,Advanced Economies,High,9.7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Patrinos, Ridao and Sakellariou (2009)"
Chile,2011,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,14.8,NA,8,15.5,NA,NA,NA,NA,OECD (2015)
Chile,1972,Advanced Economies,High,6.3,12.8,27.7,10.1,8.9,NA,NA,NA,12.4,7.7,4.2,NA,NA,NA,NA,Riveros (1990)
Chile,1965,Advanced Economies,High,5.7,12.6,27.9,10.6,8.4,NA,NA,NA,15.7,8.8,4.4,NA,NA,NA,NA,Riveros (1990)
Chile,1978,Advanced Economies,High,6.8,15.7,27.4,11.1,9.9,NA,NA,NA,11.9,9.8,6.7,NA,NA,NA,NA,Riveros (1990)
Chile,1982,Advanced Economies,High,7.4,15.1,27.8,11.2,10.1,NA,NA,NA,12.1,9,6.8,NA,NA,NA,NA,Riveros (1990)
Chile,1976,Advanced Economies,High,6.7,13.3,27.9,12.2,10.4,NA,NA,NA,11.5,9.7,6.9,NA,NA,NA,NA,Riveros (1990)
Chile,1968,Advanced Economies,High,5.9,13.7,31.6,12.3,11.3,NA,NA,NA,16.4,10,7.3,NA,NA,NA,NA,Riveros (1990)
China,1975,East Asia and Pacific,Middle,4.1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fleisher and Wang (2005)
China,1978,East Asia and Pacific,Middle,4.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zhao and Zhou (2002)
China,1985,East Asia and Pacific,Middle,3,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,5.6,NA,NA,Psacharopoulos (1994)
